Date,Close,High,Low,Open,Volume
01-03-2009,8109.529785,8843.179688,7021.279785,7454.279785,3376900000
01-04-2009,8828.259766,9068.799805,8084.620117,8173.359863,3798500000
01-05-2009,9522.5,9522.5,8827.129883,8848.839844,3006700000
01-06-2009,9958.44043,10170.82031,9491.259766,9517.490234,3795800000
01-07-2009,10356.83008,10359.07031,9050.330078,9889.339844,3393000000
01-08-2009,10492.53027,10767,10142.21973,10355.23047,2927600000
01-09-2009,10133.23047,10577.19043,9971.049805,10453.37012,2585200000
01-10-2009,10034.74023,10397.69043,9628.669922,10072.63965,3133500000
01-11-2009,9345.549805,9979.459961,9076.410156,9903.769531,2760300000
01-12-2009,10546.44043,10707.50977,9233.200195,9281.820313,3335300000
01-01-2010,10198.04004,10982.09961,10198.04004,10609.33984,3461300000
01-02-2010,10126.03027,10449.75,9867.389648,10212.36035,2486300000
01-03-2010,11089.94043,11147.62012,10116.86035,10128.73047,2840200000
01-04-2010,11057.40039,11408.16992,10865.91992,11178.91992,3039100000
01-05-2010,9768.700195,10847.90039,9395.290039,10847.90039,3169300000
01-06-2010,9382.639648,10251.90039,9347.070313,9747.259766,2699700000
01-07-2010,9537.299805,9807.360352,9091.700195,9296.860352,2938300000
01-08-2010,8824.05957,9750.879883,8807.410156,9574.639648,2551700000
01-09-2010,9369.349609,9704.25,8796.450195,8833.320313,2480200000
01-10-2010,9202.450195,9716.919922,9179.150391,9440.519531,2922000000
01-11-2010,9937.040039,10157.96973,9123.620117,9166.849609,2736400000
01-12-2010,10228.91992,10394.21973,9918.549805,9939.799805,2638500000
01-01-2011,10237.91992,10620.57031,10182.57031,10352.19043,2736000000
01-02-2011,10624.08984,10891.59961,10245.75,10281.5498,3125000000
01-03-2011,9755.099609,10768.42969,8227.629883,10676.24023,4792200000
01-04-2011,9849.740234,9849.740234,9405.19043,9757.280273,2991400000
01-05-2011,9693.730469,10017.46973,9406.040039,9964.389648,2475600000
01-06-2011,9816.089844,9849.69043,9318.620117,9708.049805,2889600000
01-07-2011,9833.030273,10207.91016,9824.339844,9878.69043,2450800000
01-08-2011,8955.200195,10040.12988,8619.209961,9907.040039,3428500000
01-09-2011,8700.290039,9098.150391,8359.700195,9017.009766,2664200000
01-10-2011,8988.389648,9152.389648,8343.009766,8567.980469,2371900000
01-11-2011,8434.610352,8946,8135.790039,8880.75,2276100000
01-12-2011,8455.349609,8729.80957,8272.259766,8581.200195,2086100000
01-01-2012,8802.509766,8911.620117,8349.330078,8549.540039,2153800000
01-02-2012,9723.240234,9866.410156,8780.099609,8789.05957,3455900000
01-03-2012,10083.55957,10255.15039,9509.099609,9771.339844,3340600000
01-04-2012,9520.889648,10190.34961,9388.139648,10161.71973,2547300000
01-05-2012,8542.730469,9472.25,8455.129883,9471.660156,2713200000
01-06-2012,9006.780273,9044.040039,8238.959961,8465.469727,2548800000
01-07-2012,8695.05957,9136.019531,8328.019531,9103.790039,2457400000
01-08-2012,8839.910156,9222.870117,8513.200195,8622.040039,2571500000
01-09-2012,8870.160156,9288.530273,8646.030273,8836.610352,2403400000
01-10-2012,8928.290039,9075.589844,8488.139648,8815.070313,2738800000
01-11-2012,9446.009766,9492.910156,8619.450195,8931.709961,2687500000
01-12-2012,10395.17969,10433.62988,9376.969727,9484.200195,3432700000
01-01-2013,11138.66016,11145.37988,10398.61035,10604.5,4335800000
01-02-2013,11559.36035,11662.51953,11046.91992,11193.71973,5299900000
01-03-2013,12397.91016,12650.25977,11464.70996,11464.70996,4251700000
01-04-2013,13860.86035,13983.87012,11805.78027,12371.33984,6211600000
01-05-2013,13774.54004,15942.59961,13555.66016,13837.71973,7190600000
01-06-2013,13677.32031,13724.44043,12415.84961,13551.36035,4755100000
01-07-2013,13668.32031,14953.29004,13562.7002,13746.71973,4145700000
01-08-2013,13388.86035,14466.16016,13188.13965,13674.5,3158800000
01-09-2013,14455.7998,14817.5,13407.53027,13438.07031,2908600000
01-10-2013,14327.94043,14799.28027,13748.94043,14517.98047,3095600000
01-11-2013,15661.87012,15729.08984,14026.16992,14403.07031,3175900000
01-12-2013,16291.30957,16320.21973,15112.54004,15659.74023,3151000000
01-01-2014,14914.53027,16164.00977,14764.57031,16147.54004,3734900000
01-02-2014,14841.07031,15094.54004,13995.86035,14788.55957,3390300000
01-03-2014,14827.83008,15312.59961,14203.20996,14666.92969,3011800000
01-04-2014,14304.11035,15164.38965,13885.11035,14870.50977,2575500000
01-05-2014,14632.37988,14744.16016,13964.42969,14341.08984,2560200000
01-06-2014,15162.09961,15442.66992,14777.50977,14777.50977,2715300000
01-07-2014,15620.76953,15759.66016,15101.49023,15179.63965,2467400000
01-08-2014,15424.58984,15628.78027,14753.83984,15511.54004,2300800000
01-09-2014,16173.51953,16374.13965,15440.99023,15454.58984,2530100000
01-10-2014,16413.75977,16533.91016,14529.03027,16173.38965,3436700000
01-11-2014,17459.84961,17520.53906,16713.36914,16732.84961,3155400000
01-12-2014,17450.76953,18030.83008,16672.93945,17475.09961,2962900000
01-01-2015,17674.39063,17850.58984,16592.57031,17325.67969,2691500000
01-02-2015,18797.93945,18865.39063,17271.86914,17536.60938,2975400000
01-03-2015,19206.99023,19778.59961,18577.06055,18869.40039,3191800000
01-04-2015,19520.00977,20252.11914,18927.94922,19129.75,3047400000
01-05-2015,20563.15039,20655.33008,19257.84961,19510.84961,3291500000
01-06-2015,20235.73047,20952.71094,19990.55078,20444.53906,3459500000
01-07-2015,20585.24023,20850,19115.19922,20291.05078,3318200000
01-08-2015,18890.48047,20946.92969,17714.30078,20540.21094,3723100000
01-09-2015,17388.15039,18777.4707,16901.49023,18763.7207,3132300000
01-10-2015,19083.09961,19202.33984,17389.57031,17479.9707,2979600000
01-11-2015,19747.4707,19994.05078,18641.2207,18827.10938,2559500000
01-12-2015,19033.71094,20012.40039,18562.50977,19799.08008,2749100000
01-01-2016,17518.30078,18951.11914,16017.25977,18818.58008,3235900000
01-02-2016,16026.75977,17905.36914,14865.76953,17699.59961,4174100000
01-03-2016,16758.66992,17291.34961,15857.37012,16013,3307500000
01-04-2016,16666.05078,17613.56055,15471.7998,16719.56055,3230600000
01-05-2016,17234.98047,17251.35938,15975.46973,16357.09961,2563800000
01-06-2016,15575.91992,17145.94922,14864.00977,17097.2207,3093000000
01-07-2016,16569.26953,16938.96094,15106.51953,15698.01953,2816900000
01-08-2016,16887.40039,16943.66992,15921.04004,16415.31055,2675600000
01-09-2016,16449.83984,17156.35938,16285.41016,16885.16016,2493200000
01-10-2016,17425.01953,17461.0293,16554.83008,16566.0293,2222800000
01-11-2016,18308.48047,18482.93945,16111.80957,17380.53906,3226000000
01-12-2016,19114.36914,19592.90039,18227.39063,18535.24023,3038700000
01-01-2017,19041.33984,19615.40039,18650.33008,19298.67969,2440400000
01-02-2017,19118.99023,19519.43945,18805.32031,18926.9707,2606300000
01-03-2017,18909.25977,19668.00977,18909.25977,19226.93945,2646000000
01-04-2017,19196.74023,19289.42969,18224.67969,18988,2178500000
01-05-2017,19650.57031,19998.49023,19144.61914,19154.0293,2230200000
01-06-2017,20033.42969,20318.10938,19686.32031,19692.16016,2326500000
01-07-2017,19925.17969,20200.88086,19856.65039,20056.32031,1790600000
01-08-2017,19646.24023,20113.73047,19280.01953,19907.08008,1876000000
01-09-2017,20356.2793,20481.26953,19239.51953,19733.57031,1807500000
01-10-2017,22011.60938,22086.88086,20363.2793,20400.50977,1872800000
01-11-2017,22724.96094,23382.15039,21972.33984,22144.91992,1981200000
01-12-2017,22764.93945,22994.33008,22119.21094,22916.92969,1539000000
01-01-2018,23098.28906,24129.33984,23065.19922,23073.73047,1606300000
01-02-2018,22068.24023,23492.76953,20950.15039,23276.09961,1840200000
01-03-2018,21454.30078,21971.16016,20347.49023,21901.13086,1732700000
01-04-2018,22467.86914,22495.56055,21056.01953,21441.57031,1386000000
01-05-2018,22201.82031,23050.39063,21931.65039,22453.41992,1607600000
01-06-2018,22304.50977,23011.57031,22038.40039,22126.25,1513500000
01-07-2018,22553.7207,22949.32031,21462.94922,22233.80078,1523800000
01-08-2018,22865.15039,23032.16992,21851.32031,22642.17969,1515200000
